Brand,Model,Year,Milage,Transmission,Location,Color,Fuel,Price,Post Date
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Cruze || ﺯﻭﺮﻛ,2016,63000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺔﻳﺭﺪﻨﻜﺳﻹﺍ,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,473441,2025-04-18
Ds || ﺱﺍ ﻯﺩ,DS7,2020,31000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺍﺮﺒﺷ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,1650000,2025-04-19
Saipa || ﺎﺒﻳﺎﺳ,Pride || ﺪﻳﺍﺮﺑ,2020,31000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺍﺮﺒﺷ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,170000,2025-04-18
Daewoo || ﻮﻳﺍﺩ,Nubira 2 || 2 ﺍﺮﻴﺑﻮﻧ,2000,158000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻲﻨﺑ,ﻦﻳﺰﻨﺑ,280000,2025-04-18
BMW || ﻮﻴﻠﺑﺩ ﻡﺍ ﻲﺑ,X3,2018,125014,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,1800000,2025-04-18
Mercedes || ﺱﺪﻴﺳﺮﻣ,A 180,2021,73000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺎﻄﻨﻃ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,2000000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2023,55000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,635000,2025-04-18
Skoda || ﺍﺩﻮﻜﺳ,A4 || Octavia A4 ﺎﻴﻓﺎﺘﻛﻭﺍ,2023,55000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,520000,2025-04-19
Geely || ﻲﻠﻴﺟ,X7,2020,162000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻥﺎﻀﻣﺭ ﻦﻣ ﺮﺷﺎﻌﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,750000,2025-04-19
Renault || ﻮﻨﻳﺭ,Clio || ﻮﻴﻠﻛ,2008,192000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,250000,2025-04-19
BMW || ﻮﻴﻠﺑﺩ ﻡﺍ ﻲﺑ,320,2006,350000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺼﻧ ﺔﻨﻳﺪﻣ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,650000,2025-04-19
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Aveo || ﻮﻴﻓﺍ,2020,78000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,575000,2025-04-19
Renault || ﻮﻨﻳﺭ,Sandero || ﻭﺮﻳﺪﻧﺎﺳ,2020,78000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,525000,2025-04-18
Renault || ﻮﻨﻳﺭ,Kadjar || ﺭﺎﺟﺩﺎﻛ,2020,78000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻯﺩﺎﻌﻤﻟﺍ,ﻲﻟﻭﺮﺘﺑ,ﻦﻳﺰﻨﺑ,835000,2025-04-18
Kia || ﺎﻴﻛ,K3,2016,157000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,855000,2025-04-18
Proton || ﻥﻮﺗﻭﺮﺑ,Preve || ﻒﻳﺮﺑ,2019,120000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﻰﺘﻨﻳﺪﻣ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,595000,2025-04-18
Peugeot || ﻮﺠﻴﺑ,504,1979,10000,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺍﻮﻠﺣ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,100000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Verna || ﺎﻧﺮﻴﻓ,2015,153522,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,410000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Elantra HD || ﻯﺩ ﺶﺗﺍ ﺍﺮﺘﻨﻟﺇ,2015,153522,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,630000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Elantra HD || ﻯﺩ ﺶﺗﺍ ﺍﺮﺘﻨﻟﺇ,2008,300000,ﻝﺍﻮﻴﻧﺎﻣ,ﻥﺍﻮﻠﺣ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,520000,2025-04-18
Fiat || ﺕﺎﻴﻓ,128,1977,77876,ﻝﺍﻮﻴﻧﺎﻣ,ﻯﺩﺎﻌﻤﻟﺍ,ﺮﻤﺣﺍ,ﻦﻳﺰﻨﺑ,360677,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2018,60000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻦﻛﺍﺪﻟﺍ ﻕﺭﺯﻷﺍ,ﻦﻳﺰﻨﺑ,540000,2025-04-18
Renault || ﻮﻨﻳﺭ,Sandero Step Way || ( ﻯﺍﻭ  ﺐﻴﺘﺳ )  ﻭﺮﻳﺪﻧﺎﺳ,2013,160000,ﻝﺍﻮﻴﻧﺎﻣ,‎ﺲﻳﻮﺴﻟﺍ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,569140,2025-04-18
Kia || ﺎﻴﻛ,Picanto || ﻮﺘﻧﺎﻜﻴﺑ,2012,56000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺪﻳﺪﺠﻟﺍ ﺓﺮﻫﺎﻘﻟﺍ - ﻊﻤﺠﺘﻟﺍ,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,550000,2025-04-18
Skoda || ﺍﺩﻮﻜﺳ,Felicia || ﺎﻴﺸﻴﻠﻴﻓ,1995,181767,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺎﺟﺎﻔﺳ,ﻕﺭﺯﺃ,ﻦﻳﺰﻨﺑ,1024271,2025-04-18
Peugeot || ﻮﺠﻴﺑ,301,2014,181000,ﻝﺍﻮﻴﻧﺎﻣ,ﻕﻭﺮﺸﻟﺍ,ﺾﻴﺑﺃ,ﻦﻳﺰﻨﺑ,410000,2025-04-18
Opel || ﻞﺑﻭﺍ,Astra || ﺍﺮﺘﺳﺃ,2020,155000,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺓﺮﻫﺎﻘﻟﺍ,ﻱﺩﺎﻣﺭ,ﻦﻳﺰﻨﺑ,570000,2025-04-18
Chevrolet || ﻪﻴﻟﻭﺮﻔﻴﺷ,Optra || ﺍﺮﺘﺑﻭﺃ,2006,180000,ﻝﺍﻮﻴﻧﺎﻣ,ﺮﻤﻏ ﺖﻴﻣ,ﺩﻮﺳﺃ,ﻦﻳﺰﻨﺑ,320000,2025-04-18
Hyundai || ﻱﺍﺪﻧﻮﻴﻫ,Verna || ﺎﻧﺮﻴﻓ,2015,153522,‎ﻚﻴﺗﺎﻣﻮﺗﺃ,ﺮﺑﻮﺘﻛﺃ 6,ﻲﻀﻓ,ﻦﻳﺰﻨﺑ,400000,2025-04-18
